gene	name	a1	a2	a3	b1	b2	b3	c1	c2	c3	d1	d2	d3
ENSRNOG00000000001	Arsj	5.43178925243976	6.63980370549844	5.05606581243416	4.39834905078035	4.80160201029378	4.05339439333698	4.77203783059594	4.41110946396708	4.79445477994287	5.05669760301635	6.15466610145965	6.16200492754167
ENSRNOG00000000007	Gad1	0	0	0	0	0	0.0159082284597062	0	0	0	0	0	0
ENSRNOG00000000008	Alx4	0.0505020270711189	0	0	0	0	0	0	0.137029966896113	0	0	0	0
ENSRNOG00000000009	Tmco5b	0	0	0	0	0	0	0	0	0	0	0.228589113426969	0
ENSRNOG00000000010	Cbln1	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000012	Tcf15	0	0	0	0	0	0	0	0	0.0541455776409952	0	0	0
ENSRNOG00000000017	Steap1	10.1111641926459	8.42579315369407	10.9015828403308	8.69671291986828	13.1012456185932	11.4493341198193	10.14271415097	8.64504414999218	8.5651589432099	10.0397331046688	8.00679705409059	9.12532005812206
ENSRNOG00000000024	Hebp1	25.2741001765063	25.4871304646254	26.2183067309956	26.9251315701667	27.7500434758177	31.9044976009166	32.9983575487001	26.7216265731243	26.3508477852843	28.7682974484783	30.8771643299623	27.0050200190959
ENSRNOG00000000033	Tmcc2	0.639094544284941	0.993816361699964	0.71619063404162	1.10138583001527	0.95030457285709	1.08553698628869	0.834174581715502	0.834714929030244	0.807568984702344	1.08389424456833	1.06810211451422	1.16473748306793
ENSRNOG00000000034	Nuak2	5.92654922881695	8.10595480580542	8.5641322133819	5.66099394477318	6.32673360208014	5.05156388984303	6.38602550595599	5.46493866063389	6.03262416642667	6.76246593240658	7.31516412332456	6.27370604510615
ENSRNOG00000000035	Tmed11	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000036	Klhdc8a	1.07271420427713	0.820154796776463	0.819578203532217	0.910924992085837	0.501917663738462	1.34904164318509	0.717614394773698	0.791698236999288	0.913992245268441	1.01992683030081	1.08235051612326	0.512644694016771
